"No.","Time","Source","Destination","Protocol","Length","Info"
"15","2.180936168","23.48.149.185","192.168.56.104","TCP","60","[TCP ACKed unseen segment] 80  >  53804 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"16","2.183456556","23.48.149.185","192.168.56.104","TCP","60","[TCP ACKed unseen segment] 80  >  53812 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"17","2.434312367","192.168.56.105","31.13.82.7","TLSv1.2","93","Application Data"
"18","2.434312830","192.168.56.105","31.13.82.7","TLSv1.2","93","Application Data"
"19","2.434312991","192.168.56.105","104.244.42.8","TLSv1.2","93","Application Data"
"20","2.435545747","31.13.82.7","192.168.56.105","TCP","60","443  >  44344 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"21","2.435546203","31.13.82.7","192.168.56.105","TCP","60","443  >  49718 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"22","2.438106555","192.168.56.105","104.244.42.8","TLSv1.2","93","Application Data"
"23","2.439818575","104.244.42.8","192.168.56.105","TCP","60","443  >  43398 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"24","2.442792430","104.244.42.8","192.168.56.105","TCP","60","443  >  42680 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"25","2.446296992","31.13.82.7","192.168.56.105","TLSv1.2","93","Application Data"
"26","2.446297898","31.13.82.7","192.168.56.105","TLSv1.2","93","Application Data"
"27","2.447411868","192.168.56.105","31.13.82.7","TCP","60","44344  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"28","2.447412157","192.168.56.105","31.13.82.7","TCP","60","49718  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0"
"29","2.450756391","104.244.42.8","192.168.56.105","TLSv1.2","93","Application Data"
"30","2.452380066","192.168.56.105","104.244.42.8","TCP","60","43398  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"31","2.453420642","104.244.42.8","192.168.56.105","TLSv1.2","93","Application Data"
"32","2.453934739","192.168.56.105","104.244.42.8","TCP","60","42680  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"33","2.775326423","192.168.56.104","34.160.144.191","TLSv1.2","100","Application Data"
"34","2.775786847","192.168.56.104","34.149.100.209","TLSv1.2","100","Application Data"
"35","2.776858521","34.160.144.191","192.168.56.104","TCP","60","443  >  49616 [ACK] Seq=1 Ack=47 Win=65535 Len=0"
"36","2.778747613","34.149.100.209","192.168.56.104","TCP","60","443  >  59074 [ACK] Seq=1 Ack=47 Win=65535 Len=0"
"37","2.778970400","192.168.56.104","34.117.121.53","TLSv1.2","100","Application Data"
"38","2.783110188","34.117.121.53","192.168.56.104","TCP","60","443  >  46620 [ACK] Seq=1 Ack=47 Win=65535 Len=0"
"39","2.790675928","34.160.144.191","192.168.56.104","TLSv1.2","114","Application Data"
"40","2.790730809","192.168.56.104","34.160.144.191","TCP","54","49616  >  443 [ACK] Seq=47 Ack=61 Win=62780 Len=0"
"41","2.791417097","192.168.56.104","34.160.144.191","TLSv1.2","100","Application Data"
"42","2.791970272","192.168.56.104","34.160.144.191","TLSv1.2","85","Encrypted Alert"
"43","2.792431830","192.168.56.104","34.160.144.191","TCP","54","49616  >  443 [FIN, ACK] Seq=124 Ack=61 Win=62780 Len=0"
"44","2.793586140","34.160.144.191","192.168.56.104","TCP","60","443  >  49616 [FIN, ACK] Seq=61 Ack=47 Win=65535 Len=0"
"45","2.793586558","34.149.100.209","192.168.56.104","TLSv1.2","114","Application Data"
"46","2.793586593","34.149.100.209","192.168.56.104","TCP","60","443  >  59074 [FIN, ACK] Seq=61 Ack=47 Win=65535 Len=0"
"47","2.793586624","34.117.121.53","192.168.56.104","TLSv1.2","114","Application Data"
"48","2.793630084","192.168.56.104","34.160.144.191","TCP","54","49616  >  443 [ACK] Seq=125 Ack=62 Win=62780 Len=0"
"49","2.793839909","192.168.56.104","34.149.100.209","TCP","54","59074  >  443 [ACK] Seq=47 Ack=61 Win=65535 Len=0"
"50","2.794191829","192.168.56.104","34.117.121.53","TCP","54","46620  >  443 [ACK] Seq=47 Ack=61 Win=62780 Len=0"
"51","2.794934508","34.117.121.53","192.168.56.104","TCP","60","443  >  46620 [FIN, ACK] Seq=61 Ack=47 Win=65535 Len=0"
"52","2.795350420","192.168.56.104","34.149.100.209","TLSv1.2","100","Application Data"
"53","2.795919971","192.168.56.104","34.117.121.53","TLSv1.2","100","Application Data"
"54","2.796547173","192.168.56.104","34.117.121.53","TLSv1.2","85","Encrypted Alert"
"55","2.797217671","192.168.56.104","34.117.121.53","TCP","54","46620  >  443 [FIN, ACK] Seq=124 Ack=62 Win=62780 Len=0"
"56","2.798111894","192.168.56.104","34.149.100.209","TLSv1.2","85","Encrypted Alert"
"57","2.798539023","192.168.56.104","34.149.100.209","TCP","54","59074  >  443 [FIN, ACK] Seq=124 Ack=62 Win=65535 Len=0"
"58","2.801661023","34.160.144.191","192.168.56.104","TCP","60","[TCP Retransmission] 443  >  49616 [FIN, ACK] Seq=61 Ack=93 Win=65535 Len=0"
"59","2.801661343","34.160.144.191","192.168.56.104","TCP","60","[TCP Retransmission] 443  >  49616 [FIN, ACK] Seq=61 Ack=124 Win=65535 Len=0"
"60","2.801661407","34.160.144.191","192.168.56.104","TCP","60","[TCP Retransmission] 443  >  49616 [FIN, ACK] Seq=61 Ack=125 Win=65535 Len=0"
"61","2.801710985","192.168.56.104","34.160.144.191","TCP","54","[TCP Dup ACK 48#1] 49616  >  443 [ACK] Seq=125 Ack=62 Win=62780 Len=0"
"62","2.801808005","192.168.56.104","34.160.144.191","TCP","54","[TCP Dup ACK 48#2] 49616  >  443 [ACK] Seq=125 Ack=62 Win=62780 Len=0"
"63","2.803484687","34.149.100.209","192.168.56.104","TCP","60","443  >  59074 [ACK] Seq=62 Ack=93 Win=65535 Len=0"
"64","2.803485003","34.117.121.53","192.168.56.104","TCP","60","443  >  46620 [ACK] Seq=62 Ack=93 Win=65535 Len=0"
"65","2.803485075","34.117.121.53","192.168.56.104","TCP","60","443  >  46620 [ACK] Seq=62 Ack=124 Win=65535 Len=0"
"66","2.803939924","34.117.121.53","192.168.56.104","TCP","60","443  >  46620 [ACK] Seq=62 Ack=125 Win=65535 Len=0"
"67","2.803940504","34.149.100.209","192.168.56.104","TCP","60","443  >  59074 [ACK] Seq=62 Ack=124 Win=65535 Len=0"
"68","2.803940530","34.149.100.209","192.168.56.104","TCP","60","443  >  59074 [ACK] Seq=62 Ack=125 Win=65535 Len=0"
"69","3.327582037","192.168.56.105","150.100.16.111","TCP","60","35082  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"70","3.327582440","192.168.56.105","150.100.16.111","TCP","60","35072  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"71","3.330002687","150.100.16.111","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 443  >  35082 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"72","3.330478450","150.100.16.111","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 443  >  35072 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"73","4.865995668","192.168.56.105","192.229.237.25","TCP","60","35344  >  80 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"74","4.867929651","192.229.237.25","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 80  >  35344 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"75","5.062834852","192.168.56.105","8.8.8.8","DNS","79","Standard query 0xb861 A www.httpvshttps.com"
"76","5.074807051","8.8.8.8","192.168.56.105","DNS","109","Standard query response 0xb861 A www.httpvshttps.com CNAME httpvshttps.com A 45.33.7.16"
"77","5.075763922","192.168.56.105","45.33.7.16","TCP","74","54214  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429205908 TSecr=0 WS=128"
"78","5.078726240","192.168.56.105","45.33.7.16","TCP","74","54224  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429205908 TSecr=0 WS=128"
"79","5.092207216","192.168.56.105","45.33.7.16","TCP","74","54236  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429205924 TSecr=0 WS=128"
"80","5.223741995","45.33.7.16","192.168.56.105","TCP","60","80  >  54224 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"81","5.223742345","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"82","5.227788434","192.168.56.105","45.33.7.16","TCP","60","54224  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"83","5.227788806","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"84","5.230290909","192.168.56.105","45.33.7.16","HTTP","652","GET / HTTP/1.1 "
"85","5.232688808","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [ACK] Seq=1 Ack=599 Win=65535 Len=0"
"86","5.238676669","45.33.7.16","192.168.56.105","TCP","60","80  >  54236 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"87","5.240459021","192.168.56.105","45.33.7.16","TCP","60","54236  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"88","5.382191163","192.168.56.105","142.251.222.46","TCP","60","60034  >  80 [ACK] Seq=1 Ack=1 Win=64001 Len=0"
"89","5.383069025","45.33.7.16","192.168.56.105","TCP","2974","80  >  54214 [PSH, ACK] Seq=1 Ack=599 Win=65535 Len=2920 [TCP segment of a reassembled PDU]"
"90","5.383741165","142.251.222.46","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 80  >  60034 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"91","5.384934580","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=599 Ack=2921 Win=62780 Len=0"
"92","5.388579703","192.168.56.105","45.33.7.16","TCP","60","[TCP ACKed unseen segment] 54214  >  80 [ACK] Seq=599 Ack=7301 Win=61320 Len=0"
"93","5.388580059","45.33.7.16","192.168.56.105","TCP","4434","[TCP Spurious Retransmission] 80  >  54214 [ACK] Seq=2921 Ack=599 Win=65535 Len=4380"
"94","5.389014654","45.33.7.16","192.168.56.105","HTTP","519","Continuation"
"95","5.394899996","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=599 Ack=7766 Win=62780 Len=0"
"96","5.715134002","192.168.56.105","45.33.7.16","TCP","74","40044  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429206546 TSecr=0 WS=128"
"97","5.870096457","45.33.7.16","192.168.56.105","TCP","60","443  >  40044 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"98","5.870097104","192.168.56.105","45.33.7.16","TCP","60","40044  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"99","5.874258192","192.168.56.105","45.33.7.16","TLSv1.2","628","Client Hello"
"100","5.876393273","45.33.7.16","192.168.56.105","TCP","60","443  >  40044 [ACK] Seq=1 Ack=575 Win=65535 Len=0"
"101","6.027066051","45.33.7.16","192.168.56.105","TLSv1.2","204","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"102","6.027877980","192.168.56.105","45.33.7.16","TCP","60","40044  >  443 [ACK] Seq=575 Ack=151 Win=64090 Len=0"
"103","6.028518794","192.168.56.105","45.33.7.16","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"104","6.030623903","45.33.7.16","192.168.56.105","TCP","60","443  >  40044 [ACK] Seq=151 Ack=626 Win=65535 Len=0"
"105","6.031069469","192.168.56.105","45.33.7.16","TLSv1.2","231","Application Data"
"106","6.031069692","192.168.56.105","45.33.7.16","TLSv1.2","511","Application Data"
"107","6.032373211","45.33.7.16","192.168.56.105","TCP","60","443  >  40044 [ACK] Seq=151 Ack=803 Win=65535 Len=0"
"108","6.032373739","45.33.7.16","192.168.56.105","TCP","60","443  >  40044 [ACK] Seq=151 Ack=1260 Win=65535 Len=0"
"109","6.151688254","192.168.56.105","192.229.237.25","TCP","60","43738  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"110","6.155495007","192.229.237.25","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 443  >  43738 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"111","6.184098215","45.33.7.16","192.168.56.105","TLSv1.2","123","Application Data"
"112","6.185266730","192.168.56.105","45.33.7.16","TLSv1.2","92","Application Data"
"113","6.187986869","45.33.7.16","192.168.56.105","TLSv1.2","304","Application Data, Application Data"
"114","6.187987205","45.33.7.16","192.168.56.105","TCP","60","443  >  40044 [ACK] Seq=470 Ack=1298 Win=65535 Len=0"
"115","6.190363625","192.168.56.105","45.33.7.16","HTTP","628","GET /check.png?16911399269514_111 HTTP/1.1 "
"116","6.192801590","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_11 HTTP/1.1 "
"117","6.192802130","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_12 HTTP/1.1 "
"118","6.192802161","45.33.7.16","192.168.56.105","TCP","60","80  >  54224 [ACK] Seq=1 Ack=575 Win=65535 Len=0"
"119","6.192802200","192.168.56.105","45.33.7.16","TCP","74","54242  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429207023 TSecr=0 WS=128"
"120","6.192802247","192.168.56.105","45.33.7.16","TCP","74","54258  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429207023 TSecr=0 WS=128"
"121","6.194331412","45.33.7.16","192.168.56.105","TCP","60","80  >  54236 [ACK] Seq=1 Ack=574 Win=65535 Len=0"
"122","6.194331744","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [ACK] Seq=7766 Ack=1172 Win=65535 Len=0"
"123","6.203741510","192.168.56.105","45.33.7.16","TCP","74","54266  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3429207035 TSecr=0 WS=128"
"124","6.230345571","192.168.56.105","45.33.7.16","TCP","60","40044  >  443 [ACK] Seq=1298 Ack=470 Win=64021 Len=0"
"125","6.340661228","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"126","6.340661474","192.168.56.105","45.33.7.16","TCP","60","54224  >  80 [ACK] Seq=575 Ack=1765 Win=62780 Len=0"
"127","6.340661502","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_16 HTTP/1.1 "
"128","6.346343529","45.33.7.16","192.168.56.105","TCP","60","80  >  54242 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"129","6.346344265","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"130","6.346344291","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"131","6.346344319","192.168.56.105","45.33.7.16","TCP","60","54242  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"132","6.346344349","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_13 HTTP/1.1 "
"133","6.346344375","192.168.56.105","45.33.7.16","TCP","60","54236  >  80 [ACK] Seq=574 Ack=1765 Win=62780 Len=0"
"134","6.346511959","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=1172 Ack=9530 Win=62780 Len=0"
"135","6.346512189","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_17 HTTP/1.1 "
"136","6.346512299","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_18 HTTP/1.1 "
"137","6.348869013","45.33.7.16","192.168.56.105","TCP","60","80  >  54224 [ACK] Seq=1765 Ack=1148 Win=65535 Len=0"
"138","6.348869562","45.33.7.16","192.168.56.105","TCP","60","80  >  54258 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"139","6.350612951","192.168.56.105","45.33.7.16","TCP","60","54258  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"140","6.351168753","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_14 HTTP/1.1 "
"141","6.355450192","45.33.7.16","192.168.56.105","TCP","60","80  >  54242 [ACK] Seq=1 Ack=574 Win=65535 Len=0"
"142","6.355451087","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [ACK] Seq=9530 Ack=1745 Win=65535 Len=0"
"143","6.355451128","45.33.7.16","192.168.56.105","TCP","60","80  >  54236 [ACK] Seq=1765 Ack=1147 Win=65535 Len=0"
"144","6.355949068","45.33.7.16","192.168.56.105","TCP","60","80  >  54258 [ACK] Seq=1 Ack=574 Win=65535 Len=0"
"145","6.357345886","45.33.7.16","192.168.56.105","TCP","60","80  >  54266 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"146","6.358357998","192.168.56.105","45.33.7.16","TCP","60","54266  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"147","6.358836248","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_15 HTTP/1.1 "
"148","6.361414367","45.33.7.16","192.168.56.105","TCP","60","80  >  54266 [ACK] Seq=1 Ack=574 Win=65535 Len=0"
"149","6.492144422","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"150","6.493279818","192.168.56.105","45.33.7.16","TCP","60","54224  >  80 [ACK] Seq=1148 Ack=3529 Win=62780 Len=0"
"151","6.494306172","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_19 HTTP/1.1 "
"152","6.495850876","45.33.7.16","192.168.56.105","TCP","60","80  >  54224 [ACK] Seq=3529 Ack=1721 Win=65535 Len=0"
"153","6.503268979","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"154","6.503269397","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"155","6.507104678","192.168.56.105","45.33.7.16","TCP","60","54242  >  80 [ACK] Seq=574 Ack=1765 Win=62780 Len=0"
"156","6.510775499","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"157","6.510775847","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"158","6.511907688","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"159","6.512586279","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=1745 Ack=11294 Win=62780 Len=0"
"160","6.513763064","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_20 HTTP/1.1 "
"161","6.514747773","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_21 HTTP/1.1 "
"162","6.515715863","45.33.7.16","192.168.56.105","TCP","60","80  >  54242 [ACK] Seq=1765 Ack=1147 Win=65535 Len=0"
"163","6.518595936","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [ACK] Seq=11294 Ack=2318 Win=65535 Len=0"
"164","6.519038950","192.168.56.105","45.33.7.16","TCP","60","54258  >  80 [ACK] Seq=574 Ack=1765 Win=62780 Len=0"
"165","6.520636937","192.168.56.105","45.33.7.16","TCP","60","54236  >  80 [ACK] Seq=1147 Ack=3529 Win=62780 Len=0"
"166","6.522244907","192.168.56.105","45.33.7.16","TCP","60","54266  >  80 [ACK] Seq=574 Ack=1765 Win=62780 Len=0"
"167","6.523472949","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_22 HTTP/1.1 "
"168","6.523473225","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_23 HTTP/1.1 "
"169","6.524436729","45.33.7.16","192.168.56.105","TCP","60","80  >  54236 [ACK] Seq=3529 Ack=1720 Win=65535 Len=0"
"170","6.526287169","45.33.7.16","192.168.56.105","TCP","60","80  >  54258 [ACK] Seq=1765 Ack=1147 Win=65535 Len=0"
"171","6.527805984","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_24 HTTP/1.1 "
"172","6.529566155","45.33.7.16","192.168.56.105","TCP","60","80  >  54266 [ACK] Seq=1765 Ack=1147 Win=65535 Len=0"
"173","6.650524254","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"174","6.650525241","192.168.56.105","45.33.7.16","TCP","60","54224  >  80 [ACK] Seq=1721 Ack=5293 Win=62780 Len=0"
"175","6.650525344","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_25 HTTP/1.1 "
"176","6.651042409","45.33.7.16","192.168.56.105","TCP","60","80  >  54224 [ACK] Seq=5293 Ack=2294 Win=65535 Len=0"
"177","6.665235043","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"178","6.665235690","192.168.56.105","45.33.7.16","TCP","60","54242  >  80 [ACK] Seq=1147 Ack=3529 Win=62780 Len=0"
"179","6.667807501","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_26 HTTP/1.1 "
"180","6.668780744","45.33.7.16","192.168.56.105","TCP","60","80  >  54242 [ACK] Seq=3529 Ack=1720 Win=65535 Len=0"
"181","6.671637397","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"182","6.671638164","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=2318 Ack=13058 Win=62780 Len=0"
"183","6.672374622","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_27 HTTP/1.1 "
"184","6.676848552","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [ACK] Seq=13058 Ack=2891 Win=65535 Len=0"
"185","6.678097765","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"186","6.680004895","192.168.56.105","45.33.7.16","TCP","60","54236  >  80 [ACK] Seq=1720 Ack=5293 Win=62780 Len=0"
"187","6.681772883","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"188","6.681773294","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"189","6.682972023","192.168.56.105","45.33.7.16","TCP","60","54266  >  80 [ACK] Seq=1147 Ack=3529 Win=62780 Len=0"
"190","6.682972327","192.168.56.105","45.33.7.16","TCP","60","54258  >  80 [ACK] Seq=1147 Ack=3529 Win=62780 Len=0"
"191","6.690505386","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_28 HTTP/1.1 "
"192","6.691678803","45.33.7.16","192.168.56.105","TCP","60","80  >  54236 [ACK] Seq=5293 Ack=2293 Win=65535 Len=0"
"193","6.717638184","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_29 HTTP/1.1 "
"194","6.720356926","45.33.7.16","192.168.56.105","TCP","60","80  >  54266 [ACK] Seq=3529 Ack=1720 Win=65535 Len=0"
"195","6.723845421","45.33.7.16","192.168.56.105","TCP","60","[TCP ACKed unseen segment] 80  >  54258 [ACK] Seq=3529 Ack=1720 Win=65535 Len=0"
"196","6.723845774","192.168.56.105","45.33.7.16","TCP","627","[TCP Spurious Retransmission] 54258  >  80 [PSH, ACK] Seq=1147 Ack=3529 Win=62780 Len=573"
"197","6.798544596","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"198","6.800484263","192.168.56.105","45.33.7.16","TCP","60","54224  >  80 [ACK] Seq=2294 Ack=7057 Win=62780 Len=0"
"199","6.801027609","192.168.56.105","45.33.7.16","HTTP","627","GET /check.png?16911399269514_31 HTTP/1.1 "
"200","6.805406071","45.33.7.16","192.168.56.105","TCP","60","80  >  54224 [ACK] Seq=7057 Ack=2867 Win=65535 Len=0"
"201","6.816781214","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"202","6.818736847","192.168.56.105","45.33.7.16","TCP","60","54242  >  80 [ACK] Seq=1720 Ack=5293 Win=62780 Len=0"
"203","6.824861665","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"204","6.825690278","192.168.56.105","45.33.7.16","HTTP","626","GET /check.png?16911399269514_4 HTTP/1.1 "
"205","6.825690849","192.168.56.105","45.33.7.16","TCP","60","54214  >  80 [ACK] Seq=2891 Ack=14822 Win=62780 Len=0"
"206","6.827083003","192.168.56.105","45.33.7.16","HTTP","626","GET /check.png?16911399269514_5 HTTP/1.1 "
"207","6.840899182","45.33.7.16","192.168.56.105","TCP","60","80  >  54242 [ACK] Seq=5293 Ack=2292 Win=65535 Len=0"
"208","6.841308880","45.33.7.16","192.168.56.105","TCP","60","80  >  54214 [ACK] Seq=14822 Ack=3463 Win=65535 Len=0"
"209","6.843045490","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"210","6.843638688","192.168.56.105","45.33.7.16","TCP","60","54236  >  80 [ACK] Seq=2293 Ack=7057 Win=62780 Len=0"
"211","6.845559777","192.168.56.105","45.33.7.16","HTTP","626","GET /check.png?16911399269514_8 HTTP/1.1 "
"212","6.849804530","45.33.7.16","192.168.56.105","TCP","60","80  >  54236 [ACK] Seq=7057 Ack=2865 Win=65535 Len=0"
"213","6.886879350","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"214","6.887832226","45.33.7.16","192.168.56.105","HTTP","1818","HTTP/1.1 200 OK  (PNG)"
"215","6.889321284","192.168.56.105","45.33.7.16","TCP","60","54266  >  80 [ACK] Seq=1720 Ack=5293 Win=62780 Len=0"
